simple;9;;;;;;;
1;2;3;4;5;6;7;8;9
0;0;0;0;0;0;-60;0;90
0;0;0;0;0;0;-60;0;90
0;0;0;0;0;0;-63;0;85
0;0;0;0;0;0;-66;0;80
0;0;0;0;0;0;-69;0;75
0;0;0;0;0;0;-72;0;70
0;0;0;0;0;0;-75;0;65
0;0;0;0;0;0;-80;0;60
0;0;0;0;0;0;-80;0;68
0;0;0;0;0;0;-80;0;77
0;0;0;0;0;0;-80;0;85
0;0;0;0;0;0;-80;0;93
0;0;0;0;0;0;-80;0;101
0;0;0;0;0;0;-80;0;110
0;0;0;0;0;0;-80;-4;110
0;0;0;0;0;0;-80;-8;110
0;0;0;0;0;0;-80;-12;110
0;0;0;0;0;0;-80;-15;110
0;0;0;0;0;0;-80;-19;110
0;0;0;0;0;0;-80;-23;110
0;0;0;0;0;0;-80;-27;110
0;0;0;0;0;0;-80;-30;110
0;0;0;0;0;0;-80;-30;110
0;0;0;0;0;0;-80;-30;110
0;0;0;0;0;0;-80;-30;110
0;0;0;0;0;0;-80;-30;110
0;0;0;0;0;0;-80;-30;105
0;0;0;0;0;0;-80;-30;100
0;0;0;0;0;0;-80;-30;95
0;0;0;0;0;0;-80;-30;90
0;0;0;0;0;0;-80;-30;90
0;0;0;0;0;0;-80;-30;80
0;0;0;0;0;0;-80;-30;70
0;0;0;0;0;0;-80;-30;60
0;0;0;0;0;0;-64;-32;48
0;0;0;0;0;0;-40;-34;36
0;0;0;0;0;0;-40;-36;24
0;0;0;0;0;0;-40;-38;12
0;0;0;0;0;0;-40;-40;0
20;-20;0;0;0;0;-40;-40;0
20;-20;0;0;0;0;-40;-40;0
20;-20;0;0;0;0;-40;-40;0
20;-20;0;0;0;0;-40;-40;0
20;-20;0;0;0;0;-40;-40;0
20;-20;0;0;0;0;-40;-40;0
20;-20;0;0;0;0;-40;-40;0
20;-20;0;0;0;0;-40;-40;0
20;-20;0;0;0;0;-40;-40;0
20;-20;0;0;0;0;-40;-40;0
20;-20;0;0;0;0;-40;-40;0
20;-20;0;0;0;0;-40;-40;0
20;-20;0;0;0;0;-40;-40;0
20;-20;0;0;0;0;-40;-40;0
20;-20;0;0;0;0;-40;-40;0
20;-20;0;0;0;0;-40;-40;0
20;-20;0;0;0;0;-40;-40;0
20;-20;0;0;0;0;-40;-40;0
20;-20;0;0;0;0;-40;-40;0
20;-20;0;0;0;0;-40;-40;0
20;-20;0;0;0;0;-40;-40;0
20;-20;0;0;0;0;-40;-40;0
20;-20;0;0;0;0;-40;-40;0
0;0;0;0;0;0;-40;-40;0
0;0;0;0;0;0;-40;-40;0
